Lon_dec,Lat_dec,Year,Scientific_name,Original_scientific_name,Depth_min,Depth_max,SST,Genus,Species,Year_extra,Month,Day
120.85,20.45,1968,Pyrosoma,"Pyrosoma",0,91,27.87,Pyrosoma,,1968,NaN,NaN
126.17,17.72,1968,Pyrosoma,"Pyrosoma",0,146,28.31,Pyrosoma,,1968,NaN,NaN
121.77,14.82,1969,Pyrosoma,"Pyrosoma",0,66.5,28.39,Pyrosoma,,1969,NaN,NaN
126.558,8.45,1969,Pyrosoma,"Pyrosoma",0,150,29.04,Pyrosoma,,1969,NaN,NaN
127.92,16.42,1968,Pyrosoma,"Pyrosoma",0,136,28.64,Pyrosoma,,1968,NaN,NaN
122.9,18.02,1969,Pyrosoma,"Pyrosoma",0,150,28.58,Pyrosoma,,1969,NaN,NaN
122.45,14.53,1969,Pyrosoma,"Pyrosoma",0,150,28.47,Pyrosoma,,1969,NaN,NaN
121.8,14.5,1969,Pyrosoma,"Pyrosoma",0,150,28.4,Pyrosoma,,1969,NaN,NaN
173.852333,-43.831333,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",111,115,11.94,Pyrosoma,Pyrosoma atlanticum,2016,4,28
131.18,6.758,1969,Pyrosoma,"Pyrosoma",0,150,29.17,Pyrosoma,,1969,NaN,NaN
123.95,15.57,1968,Pyrosoma,"Pyrosoma",0,113,28.82,Pyrosoma,,1968,NaN,NaN
103.83,1.215,1970,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1970,NaN,NaN
127.17,7.275,1969,Pyrosoma,"Pyrosoma",0,150,29.19,Pyrosoma,,1969,NaN,NaN
123.692,14.68,1969,Pyrosoma,"Pyrosoma",0,149.8,28.76,Pyrosoma,,1969,NaN,NaN
99.67,11.33,1968,Pyrosoma,"Pyrosoma",0,0,29,Pyrosoma,,1968,NaN,NaN
123.32,14.97,1968,Pyrosoma,"Pyrosoma",0,148,28.75,Pyrosoma,,1968,NaN,NaN
125.78,14.33,1968,Pyrosoma,"Pyrosoma",0,141,28.92,Pyrosoma,,1968,NaN,NaN
100.83,12.5,1968,Pyrosoma,"Pyrosoma",0,0,29.21,Pyrosoma,,1968,NaN,NaN
123.8,14.38,1969,Pyrosoma,"Pyrosoma",0,149.8,28.72,Pyrosoma,,1969,NaN,NaN
122.37,14.57,1969,Pyrosoma,"Pyrosoma",0,19,28.45,Pyrosoma,,1969,NaN,NaN
70,8.1,1963,Pyrosomatidae,"Pyrosomatidae",0,200,29.02,,,1963,NaN,NaN
130.508,13.33,1969,Pyrosoma,"Pyrosoma",0,150,29.01,Pyrosoma,,1969,NaN,NaN
120.83,21.42,1969,Pyrosoma,"Pyrosoma",0,150,27.65,Pyrosoma,,1969,NaN,NaN
125.72,6.3,1968,Pyrosoma,"Pyrosoma",0,148,28.93,Pyrosoma,,1968,NaN,NaN
103.83,1.215,1970,Pyrosoma,"Pyrosoma",0,0,29.18,Pyrosoma,,1970,NaN,NaN
